sw_id	char	reading	juan	confidence	quote	note
6709	憼	亦聲	20	high	敬也从心敬敬亦聲	
6810	忘	未找到	20	high	-	心部 gap (怠/懈/忽/忘 absent)
7212	派	亦聲	21	high	别水也从水□□亦聲	□ for 𠂢; commentary 匹賣反
7409	萍	亦聲	21	high	革水艸也从水革苹亦聲	革 miscopied for 苹
7873	授	聲	23	high	予也从手受聲	auto_guess correct
8086	娶	聲	24	high	取婦也从女取聲	auto_guess correct
8109	娣	未找到	24	high	-	女部 gap from 威 to 奴
8567	䋛	未找到	25	high	-	卷25 supplement; gap after 繡
8850	𧐂	亦聲	25	high	敗創也从虫人食食亦聲	卷25 supplement (from Da Xu)
8983	均	聲	26	high	平徧也从土匀聲	
9183	勶	亦聲	26	high	發也从力徹徹亦聲	
9453	㪵	亦聲	27	high	量物分半也从斗半亦聲	no 从半
9595	陷	聲	28	high	高下也从□臽聲一曰陟	□ is 𨸏; 陟 for Da Xu 陊
9720	字	亦聲	28	high	乳也愛也从宀子子亦聲	auto_guess wrong: its 从子聲 is 㝅
111	琥	未找到	1	low	聲春秋傳曰賜子家子雙琥	卷1球後闕文，僅存"…聲春秋傳曰"
715	𠔁	亦聲	3	high	分也从重八八别也亦聲	同大徐，亦聲前不重出八
977	喪	聲	3	medium	亡也从哭云聲	云疑亾之譌；無亦字
1323	𤘌	亦聲	4	high	武牙也从牙竒竒亦聲	竒=奇
1453	鉤	亦聲	5	high	曲也従金句句亦聲	
1724	謎	未找到	5	high	-	大徐新附字，小徐無
1778	䢅	亦聲	6	high	早昧爽也从臼辰辰時也亦聲	同大徐，亦聲前不重出辰
1995	整	未找到	6	medium	-	攴部首至政之間闕文
2032	𣀆	未找到	6	medium	-	敵後至敗注之間闕文
2125	𢌨	未找到	7	medium	-	目部眈、盱一帶俱不見
2351	瞿	未找到	7	medium	-	羴部後至鳥部闕文
2694	腥	未找到	8	medium	-	膮後闕文(脂亦缺)
2794	刺	未找到	8	medium	-	刀部㓠後至刃部闕文
3041	可	亦聲	9	medium	肎也从口亦聲也	缺丂字：作"从口亦聲"
3178	㓝	未找到	10	medium	-	井部首後闕文(阱亦缺)
3652	柵	聲	11	high	編樹木从木冊聲	
4248	晬	未找到	13	high	-	大徐新附字，小徐無
4640	竀	未找到	14	medium	-	穴部窳至突之間闕文
4944	仲	未找到	15	medium	-	人部儒至伊之間闕文
5164	僊	聲	15	high	長生者僊去也从人䙴聲	
5182	價	未找到	15	high	-	大徐新附字，小徐無
5522	歊	亦聲	16	high	歊气出皃从欠高高亦聲	
5742	㖃	未找到	17	medium	-	后部首後至巵部闕文
6546	悤	亦聲	19	high	多遽怱怱也从心囱囱亦聲	
6629	𥉁	無聲	20	medium	舉目驚然也从䀠从夰	字頭後脫；無亦聲
6719	懬	亦聲	20	high	闊也一曰廣也大也从心廣廣亦聲	無"一曰寬也"
6861	愾	亦聲	20	high	太息也从心氣氣亦聲	
7378	汲	聲	21	high	引水于井也从水及聲	
7434	涯	未找到	21	high	-	大徐新附字，小徐無
8024	㩓	聲	23	high	傷擊也从手毀聲	
8087	婚	無聲	24	high	婦家也从女昏禮娶婦以昏時婦人隂故曰婚	作从女昏，無聲字
8145	媄	聲	24	high	色好也从女羙聲	
8710	緉	亦聲	25	high	履兩枚也一曰絞也从糸从兩兩亦聲	卷25，補自大徐
8939	䬍	亦聲	25	high	疾風也从風从忽忽亦聲	卷25，補自大徐
9031	墨	無聲	26	high	書墨也从土黒	鍇注：㑹意
9293	鏨	亦聲	27	high	小鑿也从金斬斬亦聲	
9485	䡊	聲	27	high	車耳反出也从車反聲	
9605	𨻺	聲	28	high	仄也从□頃聲	□當為𨸏
9724	季	亦聲	28	high	少偁从子稚省稚亦聲	
